,Player,R/PA
3,Christian Yelich,0.27606382942480584
32,Nelson Cruz,0.2652878176729125
2,Cody Bellinger,0.2636938130269532
0,Mike Trout,0.26191479299229065
4,Anthony Rendon,0.2516836642359946
1,Alex Bregman,0.2513344902531557
11,Ketel Marte,0.24979017149268645
7,Nolan Arenado,0.24848386420783955
9,George Springer,0.24688708722616545
12,Xander Bogaerts,0.24510962103280493
47,J.D. Martinez,0.2410062156089101
97,Charlie Blackmon,0.24031068692465
5,Rafael Devers,0.24002679906384408
66,Josh Bell,0.23959532226505112
29,Freddie Freeman,0.23949409997890816
16,Juan Soto,0.2370635867323351
34,Eugenio Suarez,0.23663276417267065
43,Jorge Soler,0.23649154366003297
28,Pete Alonso,0.2361587352520498
20,Yoan Moncada,0.23541991500375645
10,Trevor Story,0.2353706481930079
33,Jose Altuve,0.23496527111218743
30,Austin Meadows,0.23436754865672318
40,Yuli Gurriel,0.23189026002894272
13,DJ LeMahieu,0.2318175440772285
24,Carlos Santana,0.23172230153217888
55,Trey Mancini,0.23050175874708867
8,Mookie Betts,0.2304088403678197
37,Matt Olson,0.22987008757374514
27,Tim Anderson,0.2292690620879813
48,Gleyber Torres,0.2291950062713935
22,Josh Donaldson,0.22885348695056784
23,Jeff McNeil,0.2285254687991224
6,Marcus Semien,0.2282688877278824
73,Nick Castellanos,0.22771406844050893
15,Javier Baez,0.22662395271521496
26,Kris Bryant,0.22639330356007809
38,Bryce Harper,0.22489169555896263
44,Michael Brantley,0.22443668776190318
14,Francisco Lindor,0.22421888282692873
18,Ronald Acuna Jr.,0.2241954597085467
81,Kyle Schwarber,0.2238232270150499
25,Max Muncy,0.22360018354713906
56,Bryan Reynolds,0.22359529886679497
45,Max Kepler,0.2218906690665568
70,Mike Moustakas,0.22096309194522293
39,Justin Turner,0.22090706183523556
67,Joc Pederson,0.22079390861148004
42,Anthony Rizzo,0.22060341919294585
75,Danny Santana,0.21975745694213636
36,Trea Turner,0.21923707102852988
69,Hunter Dozier,0.21904219756082324
110,Franmil Reyes,0.2186659687204911
35,Ozzie Albies,0.2177659829790706
104,Eloy Jimenez,0.2177282425782178
82,Ryan Braun,0.21672661308832175
31,Michael Conforto,0.2163362526394226
17,Matt Chapman,0.21598584682166544
114,Eddie Rosario,0.2154213433633091
100,Jose Abreu,0.21464914731312212
50,Corey Seager,0.21435205528014012
58,Jorge Polanco,0.21300386974367827
21,Yasmani Grandal,0.21252513216356225
57,Paul Goldschmidt,0.21250840738641974
62,Christian Walker,0.2122180192438557
68,Eduardo Escobar,0.21214073724679444
19,J.T. Realmuto,0.21211439570195564
59,Brett Gardner,0.21125611947722195
54,Christian Vazquez,0.21067606952608464
101,Luke Voit,0.21047000902409346
49,Starling Marte,0.21005855668179643
94,Marcell Ozuna,0.20981156802723636
53,Jose Ramirez,0.20918494581018987
65,Tommy Pham,0.2084261011555931
78,Avisail Garcia,0.20477114245421343
63,Whit Merrifield,0.2047386057472518
76,Kole Calhoun,0.20466109442750618
77,Manny Machado,0.20444296923656796
71,Brian Anderson,0.2042679390600269
108,Shin-Soo Choo,0.20383833380378205
117,Ryan McMahon,0.2033999318466086
41,Jonathan Villar,0.2020006948172965
89,Yasiel Puig,0.20183986482525923
86,Rhys Hoskins,0.20140690189513547
109,Daniel Vogelbach,0.20113974045845967
90,Asdrubal Cabrera,0.200748629589444
127,Renato Nunez,0.1995084216091586
128,Vladimir Guerrero Jr.,0.19942198425376864
122,Domingo Santana,0.1993935518729668
83,Kevin Newman,0.19886622845548982
102,Wilson Ramos,0.1967080057793621
119,Joey Votto,0.1962197685464732
125,Colin Moran,0.19597266214766718
80,Freddy Galvis,0.1953753902074625
79,Jason Heyward,0.19454269838309649
95,Andrew Benintendi,0.19399461447598554
46,Paul DeJong,0.19396944928996052
84,Evan Longoria,0.19343271062399273
112,Randal Grichuk,0.19328842545129513
85,Hanser Alberto,0.19239433118590146
87,Amed Rosario,0.1923698817536959
130,Albert Pujols,0.19186667048859773
132,Eric Hosmer,0.1917410393603478
91,Starlin Castro,0.19132408789095007
61,Willy Adames,0.19079243239003355
129,Miguel Cabrera,0.19054836412830395
113,Rougned Odor,0.1905106119792271
60,Nick Ahmed,0.19043772783033983
74,Adam Eaton,0.19027758454273805
88,Dansby Swanson,0.1900545903445424
120,Dexter Fowler,0.18980438019707763
121,Brandon Belt,0.1892314937675108
51,Kolten Wong,0.189217946537967
98,Jean Segura,0.18910963722122537
103,Cesar Hernandez,0.18897774879917967
64,David Fletcher,0.1869262286536016
123,Kevin Pillar,0.18657432497977733
72,Adam Frazier,0.1863998059054859
131,Adam Jones,0.1863731706989159
92,Jose Iglesias,0.18603140326262838
115,Josh Reddick,0.18560602799460524
96,Jackie Bradley Jr.,0.1846262951523342
126,Jason Kipnis,0.18447708475450714
111,Alex Gordon,0.18160610942110056
116,Jurickson Profar,0.1815818775736634
105,Miguel Rojas,0.18071890329871657
93,Elvis Andrus,0.17956005876758754
52,Victor Robles,0.17904635714318543
106,Lorenzo Cain,0.1784457571044
133,Khris Davis,0.17740168568365008
99,Leury Garcia,0.17206618092300194
124,Brandon Crawford,0.16767052071327598
134,Orlando Arcia,0.1640754508969292
118,Yolmer Sanchez,0.1562873292639066
107,Mallex Smith,0.15159742798344705
